feature,importance
emb_212,0.16262549
emb_443,0.033435944
emb_2,0.027878532
emb_249,0.023364343
emb_44,0.023228178
emb_85,0.015362587
emb_137,0.012141466
emb_272,0.010908621
emb_20,0.010464057
emb_254,0.010414764
emb_74,0.009923147
emb_293,0.009504215
emb_465,0.00856313
emb_6,0.008099176
emb_247,0.007459864
emb_15,0.007356343
emb_215,0.0072576427
emb_354,0.006934905
emb_300,0.006918157
emb_56,0.0068980185
emb_118,0.006816129
emb_435,0.0067722155
emb_502,0.006735587
emb_26,0.006599385
emb_332,0.0065058973
emb_64,0.006469887
emb_462,0.0064334264
emb_243,0.006314196
emb_255,0.0062438273
emb_159,0.006091953
emb_147,0.0059027732
emb_485,0.005667075
emb_424,0.0056083193
emb_373,0.0054889377
emb_292,0.005422562
emb_9,0.0054047755
emb_409,0.005337615
emb_233,0.005297877
emb_3,0.0052355668
emb_173,0.005234424
emb_126,0.0050643394
emb_484,0.0050255912
emb_202,0.0050095324
emb_234,0.004890767
emb_136,0.004839074
emb_302,0.004824187
emb_99,0.004800602
emb_382,0.004678771
emb_219,0.004639759
emb_97,0.0046353745
emb_457,0.0045484486
emb_100,0.0045149536
emb_38,0.0044836104
emb_506,0.0044641495
emb_365,0.004435481
emb_113,0.0044221585
emb_88,0.0044207945
emb_239,0.004365614
emb_495,0.0043126065
emb_70,0.004295384
emb_162,0.0042681275
emb_8,0.004237487
emb_508,0.004216873
emb_193,0.0042040795
emb_150,0.0041985763
emb_146,0.004186914
emb_33,0.0041689365
emb_427,0.004164294
emb_4,0.0041414876
emb_14,0.0041102422
emb_154,0.0041078124
emb_318,0.0040949187
emb_129,0.0040730545
emb_270,0.004036571
emb_230,0.0040137228
emb_285,0.004011297
emb_42,0.0040104943
emb_363,0.0040027914
emb_256,0.0039873184
emb_143,0.003932859
emb_10,0.0039271647
emb_468,0.0039207977
emb_415,0.0039050619
emb_28,0.003861805
emb_200,0.0038485467
emb_18,0.0038409503
emb_320,0.003801035
emb_229,0.003777565
emb_195,0.0037709544
emb_19,0.0037506307
emb_446,0.0037502823
emb_325,0.0037477145
emb_400,0.0037406124
emb_355,0.0037319637
emb_311,0.0037170043
emb_492,0.0037115437
emb_459,0.0037055549
emb_21,0.003704709
emb_344,0.0037034783
emb_121,0.003692835
emb_170,0.003687807
emb_112,0.0036817873
emb_343,0.00367474
emb_183,0.0036745165
emb_50,0.0036705495
emb_119,0.0036637727
emb_242,0.003644829
emb_69,0.0036433965
emb_92,0.0036405928
emb_253,0.0036326793
emb_140,0.0036156552
emb_313,0.0036002456
emb_127,0.0035976467
emb_384,0.003584465
emb_81,0.0035730998
emb_164,0.003559512
emb_107,0.0035504971
emb_57,0.0035503923
emb_309,0.0035485183
emb_497,0.0035477623
emb_383,0.0035340572
emb_282,0.0035247395
emb_58,0.0035209334
emb_440,0.0035207963
emb_396,0.0035162587
emb_130,0.0034905234
emb_223,0.003489017
emb_296,0.0034773923
emb_496,0.0034547655
emb_291,0.0034533355
emb_39,0.0034484852
emb_178,0.0034333447
emb_391,0.0034330026
emb_115,0.0034317533
emb_1,0.0034167555
emb_338,0.0034037943
emb_208,0.0033834323
emb_393,0.0033831075
emb_182,0.003372478
emb_404,0.0033497796
emb_175,0.0033285797
emb_463,0.0032963355
emb_0,0.0032902828
emb_79,0.0032597475
emb_406,0.003238637
emb_335,0.0032188294
emb_491,0.0031884708
emb_511,0.003160705
emb_367,0.0031429983
emb_490,0.0031288522
emb_75,0.0031287
emb_63,0.0031154489
emb_60,0.0030873436
emb_152,0.0030653677
emb_265,0.0030557115
emb_17,0.003028512
emb_310,0.0030280799
emb_67,0.0030146856
emb_45,0.0029874095
emb_125,0.0029768364
emb_504,0.0029555412
emb_321,0.0029249955
emb_352,0.0029239103
emb_434,0.0029044983
emb_12,0.0027073578
emb_73,0.0026916708
