feature,importance
age,0.13438942
BMI,0.05872717
emb_2,0.033186853
sex,0.022457805
emb_239,0.013970153
emb_247,0.0109749045
emb_0,0.010733121
emb_435,0.010635325
emb_9,0.009940455
emb_233,0.0093679475
emb_99,0.009206202
emb_56,0.009068686
emb_20,0.009063314
emb_276,0.009060654
emb_300,0.00899578
emb_443,0.00843793
emb_15,0.0076641873
emb_468,0.0076523647
emb_249,0.007455647
emb_496,0.007403997
emb_97,0.0073817996
emb_31,0.006860583
emb_465,0.006846745
emb_85,0.0067733643
emb_164,0.0067533506
emb_424,0.006713207
emb_74,0.0065089846
emb_243,0.0064850636
emb_200,0.006356156
emb_462,0.0063164956
emb_39,0.006145985
emb_129,0.0060727
emb_255,0.006005196
emb_355,0.0058739423
emb_463,0.0058532385
emb_409,0.005726593
emb_426,0.0057256953
emb_26,0.0056932964
emb_173,0.0055032168
emb_215,0.005481462
emb_254,0.0053959196
emb_14,0.0053894203
emb_183,0.0053512207
emb_344,0.005304923
emb_6,0.0052368166
emb_263,0.005100317
emb_219,0.005087335
emb_504,0.0050359764
emb_502,0.0050294325
emb_92,0.0049508926
emb_373,0.0049460116
emb_325,0.004933642
emb_363,0.0049089957
emb_202,0.0048773387
emb_280,0.0048447354
emb_147,0.004782617
emb_126,0.004779944
emb_3,0.0047585485
emb_73,0.0047419197
emb_137,0.0047409413
emb_365,0.004632319
emb_354,0.004614896
emb_75,0.0044376478
emb_70,0.0044145966
emb_127,0.0043672626
emb_492,0.0043659825
emb_406,0.0043360926
emb_69,0.004231859
emb_335,0.0042294376
emb_230,0.0042289803
emb_396,0.0042252312
emb_485,0.0042229197
emb_360,0.0042217458
emb_439,0.004195254
emb_446,0.004131396
emb_434,0.00412052
emb_42,0.004111918
emb_136,0.00409514
emb_234,0.004073864
emb_242,0.0040693535
emb_119,0.004024272
emb_118,0.004020353
emb_310,0.0039672954
emb_256,0.003915967
emb_508,0.003912575
emb_159,0.0038964625
emb_400,0.0038901223
emb_427,0.00387271
emb_60,0.0038654879
emb_291,0.0037697922
emb_208,0.003748556
emb_484,0.0037484034
emb_292,0.003738594
emb_178,0.0037274908
emb_491,0.0037239133
emb_302,0.0037167543
emb_115,0.0037074527
emb_33,0.0037021316
emb_146,0.0036860881
emb_140,0.003670833
emb_182,0.0036321904
emb_152,0.0036102498
emb_332,0.0035988018
emb_130,0.0035975978
emb_21,0.0035879563
emb_309,0.003557275
emb_311,0.0035566757
emb_88,0.0035566562
emb_313,0.0035538138
emb_34,0.0035510624
emb_18,0.0035397075
emb_417,0.0035030195
emb_143,0.0035015966
emb_391,0.0034916922
emb_63,0.0034679086
emb_175,0.0034401247
emb_28,0.0034272368
emb_382,0.0034256098
emb_45,0.003404398
emb_1,0.0034014669
emb_19,0.0033836463
emb_320,0.003285318
emb_67,0.003282364
emb_267,0.0032699632
emb_150,0.0032539752
emb_223,0.0032363608
emb_393,0.0032005438
emb_384,0.0031798629
emb_457,0.003178456
emb_107,0.0031438372
emb_282,0.00313067
emb_511,0.003114537
emb_497,0.0031122498
emb_318,0.003089824
emb_100,0.0030627584
emb_38,0.0030565055
emb_506,0.0030394893
emb_113,0.0030283087
emb_415,0.003011733
emb_404,0.0029947325
emb_10,0.0029757554
emb_253,0.0029684547
emb_500,0.0029366815
emb_125,0.0029272041
emb_139,0.0029223287
emb_321,0.0029169542
emb_79,0.0028829295
emb_170,0.0028602772
emb_229,0.002852343
emb_440,0.0028105488
emb_343,0.0028023068
emb_12,0.0027796817
emb_4,0.0027710819
emb_195,0.0027642744
emb_154,0.0027633342
emb_57,0.0027616166
emb_341,0.0027608604
emb_383,0.002744007
emb_8,0.002701739
emb_17,0.0026976166
emb_265,0.0026012037
emb_367,0.0025911464
emb_459,0.0025570227
emb_50,0.0025352056
emb_58,0.0025182264
emb_490,0.0024850792
emb_296,0.0024524755
emb_162,0.0024125995
emb_112,0.0022752774
emb_270,0.0022140215
