feature,importance
Tpw25/Tsp,0.10038717
Aw/Au,0.03136397
Tp2,0.031020219
Tdw33,0.029838085
Tdw25/Tsw25,0.02956256
Tf/Tpi,0.028684417
Tpw50/Tsp,0.023572689
Tf,0.022020033
Tb-c,0.02192694
Tdw50,0.021675555
Tp1,0.018295411
Tdp,0.016642006
Tb,0.016483903
Tb/Tpi,0.016095208
Tc/Tpi,0.014917087
Tdw33/Tsw33,0.014819789
Tp1-dp,0.014424284
Tpw75,0.01412979
Tp2-dp,0.013683197
Te,0.013512824
Tpw75/Tsp,0.013250957
Tdw75/Tsw75,0.0130635295
Tc,0.012445864
Ap2/Ap1,0.012054439
(Ad-Ab)/Aa,0.011625455
Tpw75/Tpi,0.010420554
Tu/Tpi,0.010414865
Tdw66/Tsw66,0.010126628
AI,0.01007636
Tsys,0.01002348
IPA,0.009693428
Ac/Aa,0.009656126
RIp1,0.009586207
Tsp,0.009574879
Tsw90,0.009470274
Tpw66,0.009129227
Aoff,0.0090633435
Tw,0.008702857
Tdw66,0.008181446
Tpw50/Tpi,0.007919702
(Tv-Tb)/Tpi,0.007907577
Tdw50/Tsw50,0.0076766037
Tpi,0.0074473154
Tdw75,0.0074074613
Asp,0.006976982
Asp/deltaT,0.006923613
Tpw33,0.006753308
Tsw25,0.0066533424
Au/Asp,0.006550179
Td,0.006517386
Av/Au,0.0063127754
Af/Aa,0.006231036
Tb-d,0.006167308
Tdw90/Tsw90,0.006161608
Tsys/Tdia,0.005932686
Tv,0.0058029434
Tsw75,0.005784414
Tdw25,0.0057587614
IPAD,0.005705121
Tpw25/Tpi,0.005560942
AUCpi,0.005560416
AUCsys,0.005489196
Tw/Tpi,0.0054870225
Tpw10,0.005419903
Tpw50,0.005305467
Tsw33,0.005261166
Tdw10/Tsw10,0.0051272777
(Tu-Ta)/Tpi,0.0049418467
Tdia,0.0049397494
Ae/Aa,0.0048413593
deltaT,0.0048399167
Tpw25,0.0048381407
(Ac-Ab)/Aa,0.00468149
Ta,0.0046388432
Asp/(Tpi-Tsp),0.004628596
Tsp/Tpi,0.00454825
AGImod,0.0045184884
Ab/Aa,0.0044620465
Tsw50,0.0044292007
Tpw90,0.004422614
Ad/Aa,0.0043884898
Tsw66,0.0042927805
Tdw10,0.0042491234
Tdw90,0.0041570356
Te/Tpi,0.004155471
AUCdia,0.0041112644
AGIinf,0.0041041933
Ta/Tpi,0.0040856116
Tsp/Asp,0.00401505
Adp/Asp,0.004008784
Adp,0.0039735204
Td/Tpi,0.003968938
SC,0.003876041
Adn,0.0037938992
Tv/Tpi,0.0036791677
AGI,0.0032926549
Asp/Aoff,0.0032916346
Tu,0.0032667704
Tsw10,0.0031424966
IPR,0.0
RIp2,0.0
