feature,importance
emb_282,0.038614914
emb_129,0.022231894
emb_383,0.016139235
emb_468,0.016104357
emb_291,0.013516744
emb_175,0.012430161
emb_219,0.011202635
emb_249,0.009943504
emb_485,0.009770733
emb_92,0.009655041
emb_406,0.009510649
emb_2,0.009382825
emb_254,0.009187528
emb_85,0.009079792
emb_208,0.008974219
emb_310,0.008758606
emb_484,0.008489328
emb_335,0.008485313
emb_415,0.008370652
emb_170,0.008310511
emb_355,0.008215794
emb_178,0.008096342
emb_79,0.008070045
emb_426,0.007974506
emb_462,0.0078002685
emb_136,0.0077773007
emb_311,0.0076666004
emb_159,0.0076181833
emb_263,0.0076107387
emb_511,0.0075646383
emb_10,0.007546947
emb_276,0.0075113727
emb_173,0.007501515
emb_73,0.0074584833
emb_31,0.0074054385
emb_255,0.0073525524
emb_202,0.0073353383
emb_8,0.0073114485
emb_292,0.0071588983
emb_404,0.0071339137
emb_427,0.0070967665
emb_500,0.0070337807
emb_70,0.007027442
emb_435,0.0069087325
emb_15,0.0068423986
emb_321,0.006820234
emb_56,0.006801592
emb_396,0.006792716
emb_50,0.0067746923
emb_63,0.0067511834
emb_146,0.006748984
emb_9,0.0066353222
emb_17,0.006627312
emb_126,0.006626862
emb_182,0.006565038
emb_115,0.006550838
emb_20,0.006550435
emb_1,0.0064430228
emb_439,0.0064021097
emb_363,0.0063987826
emb_195,0.006325437
emb_417,0.0061926846
emb_119,0.0061897994
emb_504,0.00618213
emb_21,0.006177884
emb_280,0.0061759567
emb_300,0.0061743166
emb_162,0.00609515
emb_143,0.006078872
emb_409,0.006063782
emb_100,0.0060561025
emb_88,0.0060334625
emb_354,0.0059955283
emb_39,0.0059669153
emb_325,0.005859625
emb_127,0.005824506
emb_234,0.005806058
emb_14,0.005791518
emb_118,0.0057633915
emb_243,0.005752803
emb_365,0.0057211453
emb_26,0.005718977
emb_67,0.0057021976
emb_125,0.005674905
emb_69,0.0056601004
emb_496,0.005657706
emb_373,0.005571823
emb_230,0.0055381516
emb_265,0.005521955
emb_58,0.005491135
emb_424,0.0054736435
emb_75,0.00547027
emb_296,0.005433331
emb_247,0.00542635
emb_343,0.005409164
emb_99,0.005338133
emb_113,0.0053026797
emb_4,0.005259703
emb_497,0.0052408297
emb_318,0.00520545
emb_341,0.0051371693
emb_139,0.005131589
emb_382,0.0051163556
emb_150,0.0051138806
emb_200,0.0051039164
emb_391,0.0050928458
emb_313,0.00505053
emb_3,0.0050444957
emb_74,0.005003156
emb_309,0.004973318
emb_459,0.004969021
emb_164,0.004955445
emb_508,0.004929893
emb_320,0.004905844
emb_18,0.0048149177
emb_223,0.0048072664
emb_242,0.004792587
emb_463,0.0047688703
emb_506,0.0047678007
emb_19,0.004763688
emb_140,0.004743598
emb_492,0.0046000266
emb_57,0.0045633013
emb_465,0.0045537255
emb_270,0.0045282985
emb_107,0.004519201
emb_33,0.0044998582
emb_490,0.004496875
emb_6,0.004482244
emb_393,0.0044689383
emb_502,0.0044194767
emb_360,0.004394714
emb_400,0.0043647
emb_384,0.004278705
emb_233,0.004269021
emb_215,0.0042456156
emb_267,0.0042127618
emb_28,0.0041745347
emb_42,0.0041676024
emb_34,0.004131851
emb_112,0.004106457
emb_344,0.0039997553
emb_130,0.003975968
emb_154,0.003907786
emb_443,0.0038859406
emb_152,0.0037352687
emb_60,0.003716575
emb_440,0.003459018
emb_97,0.003389566
emb_332,0.0032173232
emb_239,0.0031109715
emb_253,0.0031034956
emb_446,0.0024390272
emb_229,0.0016044177
emb_137,0.0
emb_491,0.0
emb_434,0.0
emb_12,0.0
emb_256,0.0
emb_457,0.0
emb_38,0.0
emb_45,0.0
emb_183,0.0
emb_302,0.0
emb_147,0.0
emb_367,0.0
emb_0,0.0
