feature,importance
Tpw10,0.037447914
Tdw33/Tsw33,0.031332687
Tp2-dp,0.030676285
Tsw50,0.02806856
Tdw10/Tsw10,0.02100344
Asp/deltaT,0.018444235
AUCsys,0.018296396
Tsw10,0.018110111
(Tv-Tb)/Tpi,0.017401883
Tsp/Asp,0.01724336
Tpw33,0.016684523
Tpw25/Tsp,0.015268332
Tw/Tpi,0.015006126
Tw,0.014748717
Tc,0.014395553
Tdw75/Tsw75,0.013989929
Tpw25,0.013687114
Tb-c,0.013643889
Tdw66/Tsw66,0.013494089
IPA,0.013491475
Tpw75/Tpi,0.013224159
Tpw75/Tsp,0.012694297
Aw/Au,0.012644106
Tb/Tpi,0.012324716
AUCdia,0.012082316
Asp/Aoff,0.011908114
(Tu-Ta)/Tpi,0.01187468
Tdw10,0.011726612
Tpp,0.011699399
Tsys,0.011594151
(Ad-Ab)/Aa,0.011285924
Td/Tpi,0.011144151
AUCpi,0.0110628065
Asp,0.011007726
Tdw66,0.0109620495
SC,0.010901783
Tpw50/Tsp,0.010831532
Tp2,0.01079015
Tpw90,0.010675368
Ab/Aa,0.010578567
RIp1,0.010548096
Tdw90,0.01049731
Tdw25/Tsw25,0.010154603
Asp/(Tpi-Tsp),0.010148811
Tsw90,0.010056699
Ad/Aa,0.010054408
Tsys/Tdia,0.0099097965
AGImod,0.009718456
IPAD,0.00965361
AGIinf,0.009635131
Ta/Tpi,0.009617758
Tf/Tpi,0.009585313
Tpw75,0.009415076
Af/Aa,0.009238181
Tpw25/Tpi,0.0092202
Tdp,0.00918768
Tdw33,0.009080953
Adp/Asp,0.008949148
Te/Tpi,0.008759793
Tsw33,0.0085993195
Tu/Tpi,0.00850588
Tp1-dp,0.008376542
Tpw66,0.008308324
Ac/Aa,0.00830408
Tb,0.008266068
Tdw75,0.008249881
Tf,0.008224897
Aoff,0.00812821
Tsp/Tpi,0.00797441
deltaT,0.0074771764
Tv/Tpi,0.0072634392
Tv,0.0072456324
Tdw50/Tsw50,0.007244673
Ae/Aa,0.007040962
Adp,0.0067488635
Tdw50,0.0065303314
Tpw50,0.0062366836
(Ac-Ab)/Aa,0.0060055293
Tdw90/Tsw90,0.0060005407
Av/Au,0.005942016
Tc/Tpi,0.0055147437
AGI,0.0053284643
Adn,0.005065201
Tdia,0.0049250848
Tpw50/Tpi,0.0048364876
Au/Asp,0.004158764
Ap2/Ap1,0.003950508
Td,0.0037307218
Tp1,0.0034706523
Tdw25,0.002431369
Tsw75,0.0022795321
AI,0.0005567877
Te,0.00019994516
RIp2,0.0
Tsp,0.0
Ta,0.0
IPR,0.0
Tu,0.0
Tsw25,0.0
Tb-d,0.0
Tsw66,0.0
Tpi,0.0
