feature,importance
emb_302,0.051510293
emb_393,0.043624405
emb_92,0.039271593
emb_200,0.011409935
emb_256,0.0096327495
emb_490,0.009272852
emb_311,0.0086004725
emb_20,0.008110381
emb_8,0.008094362
emb_383,0.007230807
emb_318,0.007156486
emb_140,0.0071403617
emb_484,0.00678012
emb_443,0.00673145
emb_321,0.0066640074
emb_363,0.0066155544
emb_373,0.006554924
emb_253,0.0065475963
emb_21,0.0064931475
emb_400,0.0064150346
emb_88,0.0062926807
emb_468,0.0062844576
emb_446,0.006273251
emb_0,0.0062662484
emb_249,0.0062625753
emb_147,0.006258385
emb_504,0.006232807
emb_2,0.006209808
emb_150,0.0062043914
emb_320,0.006149282
emb_409,0.006127136
emb_406,0.0061099827
emb_107,0.006091841
emb_112,0.0060158544
emb_58,0.0059960596
emb_424,0.0059914514
emb_332,0.0059830295
emb_18,0.0059453826
emb_164,0.0058954987
emb_195,0.0058884616
emb_4,0.005886988
emb_6,0.0058508404
emb_344,0.0058202427
emb_335,0.0057811723
emb_462,0.0057598683
emb_267,0.0057576806
emb_175,0.0057568443
emb_57,0.005738647
emb_45,0.005729905
emb_137,0.0057028127
emb_28,0.0056924974
emb_178,0.0056871623
emb_313,0.005660811
emb_508,0.0056327735
emb_129,0.0056294436
emb_14,0.0056167394
emb_39,0.005588568
emb_26,0.0055644866
emb_19,0.0055343406
emb_234,0.0055330954
emb_136,0.0055106394
emb_69,0.005479331
emb_115,0.005471703
emb_500,0.0054394063
emb_265,0.005390589
emb_118,0.005387084
emb_280,0.0053870017
emb_63,0.005386076
emb_74,0.0053830617
emb_291,0.0053776368
emb_159,0.005367983
emb_15,0.005352676
emb_162,0.0053502945
emb_360,0.0053327964
emb_427,0.0053072656
emb_170,0.005304844
emb_497,0.005303371
emb_215,0.005280513
emb_242,0.005269398
emb_492,0.0052639903
emb_173,0.00524129
emb_463,0.0051836134
emb_202,0.005176304
emb_146,0.005153436
emb_434,0.005151583
emb_355,0.0051491656
emb_31,0.005143401
emb_491,0.0051302277
emb_341,0.0051281936
emb_255,0.0051269396
emb_126,0.005071103
emb_511,0.005046117
emb_435,0.005043948
emb_12,0.0050283135
emb_154,0.005019466
emb_506,0.004951891
emb_10,0.004942467
emb_459,0.004931345
emb_300,0.0049184975
emb_384,0.0048928163
emb_70,0.0048843483
emb_219,0.0048760585
emb_50,0.0048192735
emb_365,0.0048014782
emb_296,0.0047967876
emb_97,0.004792766
emb_247,0.004791411
emb_282,0.004783696
emb_404,0.004761502
emb_99,0.004756983
emb_426,0.0047435225
emb_310,0.0047421823
emb_56,0.00472183
emb_325,0.0047129253
emb_127,0.00470719
emb_239,0.004693854
emb_85,0.004688396
emb_208,0.0046827807
emb_457,0.0046601775
emb_73,0.0046534385
emb_440,0.004647063
emb_276,0.0046457797
emb_119,0.004624004
emb_229,0.004591313
emb_113,0.0045890394
emb_34,0.0045848787
emb_182,0.004567896
emb_382,0.004566339
emb_9,0.00456427
emb_292,0.0045388895
emb_223,0.0045250305
emb_485,0.0045051994
emb_465,0.0044704685
emb_100,0.0044665006
emb_125,0.00445552
emb_396,0.0044503007
emb_343,0.004444548
emb_439,0.0044192336
emb_152,0.004392408
emb_263,0.0043919776
emb_270,0.004379611
emb_79,0.004274673
emb_243,0.0042311014
emb_75,0.004220916
emb_230,0.004196958
emb_233,0.004185102
emb_417,0.004184069
emb_254,0.0041820183
emb_502,0.0041718637
emb_67,0.0041651144
emb_42,0.0040566996
emb_496,0.004014367
emb_60,0.0039559077
emb_3,0.0039421185
emb_391,0.00391386
emb_354,0.0038795327
emb_309,0.0038262617
emb_33,0.0037776616
emb_139,0.0037057772
emb_415,0.0036690338
emb_367,0.0036618619
emb_143,0.0036586972
emb_38,0.0035898483
emb_17,0.0035437292
emb_1,0.0034261083
emb_183,0.0034088609
emb_130,0.0032310516
