feature,importance
BMI,0.048408963
sex,0.01976529
emb_393,0.016709995
age,0.014112099
emb_200,0.012864703
emb_302,0.011275063
emb_3,0.010949893
emb_440,0.010853329
emb_254,0.008837193
emb_17,0.007786545
emb_8,0.0076899286
emb_219,0.007517645
emb_92,0.0074159694
emb_256,0.0071690255
emb_263,0.0071594403
emb_443,0.0070945267
emb_2,0.00692166
emb_129,0.0069132377
emb_234,0.006795618
emb_344,0.006773154
emb_291,0.0066401297
emb_435,0.0066375756
emb_497,0.00648756
emb_311,0.0064786687
emb_50,0.0064451247
emb_28,0.0064230985
emb_140,0.0064051137
emb_417,0.00637191
emb_118,0.006365476
emb_58,0.0063093165
emb_45,0.006301832
emb_313,0.0062794024
emb_270,0.0062717367
emb_74,0.0062627564
emb_38,0.0062107695
emb_508,0.006203384
emb_154,0.0061459495
emb_243,0.0060988055
emb_504,0.0060542845
emb_223,0.0060528517
emb_130,0.0060425443
emb_150,0.0060316357
emb_175,0.0060162717
emb_0,0.005997967
emb_229,0.005983977
emb_247,0.005979174
emb_354,0.005973833
emb_99,0.0059564286
emb_325,0.00592379
emb_427,0.005918191
emb_12,0.005894977
emb_57,0.0058684675
emb_182,0.005839027
emb_119,0.005697066
emb_462,0.0056117247
emb_9,0.005605785
emb_215,0.005604633
emb_239,0.005536518
emb_296,0.0055360333
emb_69,0.0055268165
emb_162,0.0054961243
emb_292,0.0054824944
emb_459,0.00546334
emb_363,0.005437017
emb_242,0.005428344
emb_382,0.0054122494
emb_137,0.005409195
emb_335,0.0054068076
emb_112,0.005366613
emb_100,0.005366512
emb_178,0.005363088
emb_491,0.0053543444
emb_18,0.0053484975
emb_343,0.0053475318
emb_500,0.0053229127
emb_506,0.0053013787
emb_4,0.005262182
emb_33,0.005249645
emb_147,0.005245919
emb_75,0.005242558
emb_332,0.005236248
emb_341,0.005219091
emb_300,0.0052159675
emb_320,0.005213733
emb_463,0.0051878495
emb_253,0.005155669
emb_97,0.0051379236
emb_136,0.005133735
emb_6,0.005127612
emb_457,0.005091503
emb_34,0.0050913715
emb_67,0.0050874576
emb_404,0.005086237
emb_383,0.0050765923
emb_42,0.005071244
emb_400,0.0050477986
emb_384,0.0050430703
emb_465,0.0050114803
emb_173,0.005004227
emb_208,0.0050031496
emb_230,0.004993107
emb_113,0.0049875444
emb_60,0.004976195
emb_355,0.004965135
emb_195,0.0049550286
emb_468,0.0049418905
emb_406,0.004937536
emb_233,0.0049308743
emb_309,0.004903616
emb_321,0.004902465
emb_446,0.0048879883
emb_276,0.00488
emb_63,0.0048794337
emb_373,0.004861358
emb_492,0.0048508444
emb_496,0.0048238924
emb_26,0.004823417
emb_511,0.004808531
emb_391,0.0048008873
emb_19,0.0047891345
emb_365,0.0047880383
emb_143,0.0047607394
emb_439,0.0047370284
emb_502,0.0047061434
emb_73,0.004704299
emb_10,0.0046824925
emb_115,0.0046804934
emb_146,0.0046760053
emb_14,0.004669562
emb_21,0.004663245
emb_20,0.0046553006
emb_107,0.0046294914
emb_125,0.0046212734
emb_490,0.004619216
emb_267,0.0046053403
emb_183,0.0046010194
emb_484,0.0045972494
emb_15,0.0045555877
emb_255,0.0045412527
emb_170,0.0045299605
emb_409,0.004519721
emb_426,0.0045037977
emb_31,0.0044659376
emb_202,0.004434385
emb_39,0.004432544
emb_360,0.0044137277
emb_318,0.004406456
emb_434,0.0043881065
emb_249,0.004360456
emb_70,0.00425225
emb_79,0.0042495667
emb_310,0.004248636
emb_265,0.0042118826
emb_280,0.0041996473
emb_152,0.0041601732
emb_56,0.0041542556
emb_88,0.0040691565
emb_396,0.004061019
emb_415,0.00406041
emb_139,0.0040573473
emb_282,0.0040160436
emb_424,0.0039613196
emb_164,0.0039507346
emb_126,0.0039207
emb_85,0.0038346124
emb_127,0.00372519
emb_367,0.0036918728
emb_159,0.0036857312
emb_1,0.003613083
emb_485,0.003476005
