feature,importance
emb_212,0.033121556
emb_2,0.032152724
emb_443,0.015800767
emb_356,0.014716619
emb_249,0.014631346
emb_189,0.012276722
emb_200,0.009999185
emb_239,0.0059333127
emb_364,0.0055585355
emb_482,0.0046734787
emb_435,0.004564516
emb_308,0.004513357
emb_137,0.0044177705
emb_56,0.004329317
emb_87,0.004300661
emb_74,0.004224216
emb_210,0.0042188996
emb_322,0.00420434
emb_272,0.004140045
emb_20,0.0040575545
emb_241,0.0038999624
emb_85,0.0038264396
emb_44,0.0038168945
emb_419,0.0036556723
emb_145,0.0036069464
emb_64,0.0035872206
emb_346,0.0034703014
emb_422,0.0034391657
emb_327,0.0034333689
emb_40,0.0034317016
emb_354,0.0032306546
emb_332,0.0031612408
emb_254,0.003096913
emb_231,0.0030327828
emb_147,0.0029887152
emb_358,0.002935169
emb_89,0.0028001645
emb_173,0.0027826368
emb_300,0.0027811867
emb_324,0.0027682157
emb_465,0.0027560045
emb_6,0.0027162996
emb_156,0.0026381414
emb_348,0.0025999623
emb_215,0.002589025
emb_455,0.002548745
emb_55,0.002494586
emb_247,0.0024587305
emb_381,0.002450065
emb_123,0.002439798
emb_30,0.002435681
emb_263,0.0024209002
emb_35,0.0023347691
emb_489,0.0023339724
emb_219,0.0023231988
emb_386,0.0022500006
emb_129,0.002230822
emb_496,0.0022031323
emb_8,0.002193763
emb_103,0.0021684524
emb_122,0.0021609021
emb_26,0.0021533975
emb_34,0.0021477353
emb_468,0.0021347671
emb_214,0.0021222108
emb_441,0.0021106405
emb_9,0.0021017056
emb_473,0.0020952057
emb_292,0.0020843996
emb_95,0.0020835793
emb_216,0.0020819851
emb_425,0.002059398
emb_262,0.0020573847
emb_502,0.0020498713
emb_53,0.0020286967
emb_3,0.0020227416
emb_54,0.0020181986
emb_99,0.0020135993
emb_469,0.0020052406
emb_319,0.002004423
emb_32,0.0019994618
emb_355,0.0019903271
emb_117,0.001986523
emb_474,0.0019844025
emb_243,0.001983046
emb_378,0.0019768514
emb_136,0.0019669181
emb_69,0.0019582394
emb_414,0.001955328
emb_365,0.0019521471
emb_149,0.0019407717
emb_106,0.0019138193
emb_86,0.001905097
emb_4,0.0019042053
emb_411,0.0018934371
emb_462,0.0018910718
emb_255,0.0018885725
emb_349,0.0018625082
emb_409,0.0018559769
emb_360,0.0018540199
emb_98,0.0018521976
emb_460,0.0018521495
emb_293,0.0018506929
emb_426,0.0018483836
emb_420,0.0018483003
emb_307,0.0018429129
emb_246,0.0018361207
emb_493,0.0018275614
emb_52,0.0018214985
emb_475,0.0018092614
emb_376,0.0018080837
emb_488,0.001806961
emb_282,0.0018028626
emb_91,0.0017975923
emb_158,0.001793294
emb_118,0.0017916168
emb_483,0.0017912425
emb_42,0.0017848101
emb_63,0.0017842918
emb_50,0.001782995
emb_279,0.0017811612
emb_281,0.0017710394
emb_33,0.001771037
emb_357,0.0017673665
emb_104,0.0017617351
emb_58,0.0017589885
emb_130,0.0017567392
emb_454,0.0017488038
emb_351,0.0017439913
emb_311,0.0017399708
emb_21,0.0017392565
emb_66,0.0017373228
emb_121,0.0017366591
emb_413,0.0017356905
emb_499,0.0017333039
emb_49,0.0017244315
emb_476,0.001722102
emb_362,0.0017213045
emb_230,0.0017211386
emb_224,0.0017209066
emb_286,0.0017208196
emb_195,0.0017198722
emb_438,0.0017166669
emb_326,0.0017098202
emb_15,0.0017067643
emb_235,0.0017045393
emb_336,0.0017041856
emb_321,0.0017000847
emb_372,0.0016994207
emb_313,0.0016990016
emb_424,0.0016977518
emb_436,0.0016972875
emb_185,0.0016943989
emb_387,0.0016942581
emb_124,0.0016890776
emb_394,0.0016887814
emb_391,0.0016879692
emb_133,0.0016862235
emb_481,0.0016844985
emb_495,0.00168394
emb_70,0.0016826598
emb_184,0.0016825682
emb_345,0.001681142
emb_59,0.001677619
emb_373,0.0016776073
emb_132,0.0016733821
emb_24,0.0016732498
emb_139,0.0016647748
emb_203,0.001663937
emb_379,0.0016526389
emb_170,0.0016523257
emb_126,0.0016501282
emb_97,0.0016414225
emb_259,0.0016402261
emb_341,0.0016383572
emb_146,0.0016364643
emb_270,0.0016335925
emb_202,0.0016329606
emb_0,0.0016311024
emb_317,0.0016290408
emb_302,0.0016286647
emb_68,0.0016278648
emb_484,0.0016277902
emb_427,0.0016274339
emb_18,0.0016262319
emb_204,0.0016252485
emb_323,0.0016245235
emb_384,0.0016241033
emb_388,0.001623663
emb_141,0.0016212369
emb_453,0.0016172694
emb_335,0.0016170151
emb_169,0.0016124779
emb_501,0.0016117108
emb_289,0.0016093797
emb_198,0.0016085542
emb_233,0.0016064127
emb_88,0.0016059639
emb_510,0.0016048087
emb_188,0.0016044832
emb_458,0.0016038612
emb_498,0.0016021392
emb_470,0.0015999436
emb_144,0.0015966165
emb_508,0.0015950053
emb_368,0.0015924654
emb_389,0.0015882612
emb_11,0.0015882353
emb_461,0.0015856689
emb_102,0.0015838188
emb_330,0.0015826313
emb_31,0.0015805162
emb_150,0.0015804103
emb_506,0.0015798181
emb_232,0.0015785362
emb_361,0.0015757855
emb_154,0.0015756667
emb_283,0.0015738427
emb_29,0.0015730228
emb_457,0.0015718755
emb_500,0.0015701974
emb_452,0.0015687254
emb_306,0.001567901
emb_46,0.0015673976
emb_374,0.0015667101
emb_325,0.0015653946
emb_439,0.001564165
emb_183,0.0015636416
emb_257,0.001562273
emb_100,0.0015620829
emb_199,0.0015613007
emb_467,0.0015612041
emb_201,0.0015599201
emb_486,0.0015588662
emb_159,0.001558655
emb_479,0.0015585237
emb_485,0.0015583682
emb_28,0.0015574392
emb_142,0.0015560789
emb_207,0.0015550333
emb_342,0.0015520513
emb_396,0.0015511706
emb_225,0.0015495393
emb_72,0.0015485127
emb_359,0.0015465752
emb_48,0.0015439084
emb_310,0.0015425873
emb_463,0.0015424986
emb_492,0.0015419915
emb_296,0.0015416988
emb_431,0.0015411882
emb_333,0.0015402931
emb_494,0.0015399986
emb_466,0.0015393326
emb_135,0.0015389592
emb_206,0.001535448
emb_16,0.0015350987
emb_337,0.0015334158
emb_478,0.0015321625
emb_487,0.0015315037
emb_93,0.0015300297
emb_211,0.001529289
emb_10,0.0015290573
emb_446,0.0015273707
emb_397,0.0015261451
emb_27,0.0015241129
emb_187,0.0015240078
emb_175,0.0015237646
emb_449,0.0015230911
emb_250,0.0015203265
emb_17,0.0015177121
emb_265,0.0015169961
emb_236,0.0015151064
emb_328,0.0015142276
emb_352,0.001513306
emb_19,0.0015130341
emb_157,0.0015124639
emb_151,0.0015095464
emb_228,0.0015091919
emb_213,0.0015069303
emb_166,0.001506171
emb_304,0.0015054517
emb_77,0.0015054276
emb_62,0.0015035083
emb_290,0.0015013288
emb_297,0.0015002162
emb_196,0.0014996628
emb_177,0.0014992468
emb_399,0.001498948
emb_276,0.0014955123
emb_383,0.0014951214
emb_161,0.0014950116
emb_148,0.0014935198
emb_120,0.0014930959
emb_167,0.0014920349
emb_229,0.001491328
emb_193,0.0014893342
emb_416,0.0014887644
emb_105,0.0014878978
emb_503,0.0014874217
emb_71,0.0014871685
emb_404,0.0014861925
emb_113,0.0014825602
emb_423,0.0014798448
emb_192,0.0014791783
emb_440,0.0014783114
emb_294,0.001477093
emb_315,0.001475492
emb_112,0.0014702533
emb_22,0.0014690685
emb_320,0.0014671204
emb_43,0.001466038
emb_347,0.0014652614
emb_363,0.0014642519
emb_163,0.0014642251
emb_253,0.0014633728
emb_472,0.0014629533
emb_339,0.0014605628
emb_451,0.001458676
emb_406,0.0014584634
emb_180,0.0014574449
emb_153,0.0014568765
emb_266,0.0014559285
emb_107,0.0014548624
emb_127,0.0014543494
emb_164,0.001453963
emb_179,0.001453682
emb_174,0.0014528143
emb_37,0.0014523191
emb_110,0.0014517024
emb_303,0.0014515396
emb_176,0.0014500769
emb_338,0.0014482185
emb_450,0.0014481657
emb_432,0.001447516
emb_375,0.0014464732
emb_403,0.0014461393
emb_197,0.0014457313
emb_108,0.0014455379
emb_430,0.0014449306
emb_284,0.0014442276
emb_287,0.0014433673
emb_464,0.0014432458
emb_217,0.0014426804
emb_194,0.0014421161
emb_267,0.0014420727
emb_165,0.0014410006
emb_140,0.0014361135
emb_75,0.0014336993
emb_497,0.0014333578
emb_162,0.0014302814
emb_116,0.0014302747
emb_402,0.0014292633
emb_182,0.0014291133
emb_382,0.0014287108
emb_13,0.0014265601
emb_433,0.0014262102
emb_82,0.0014249525
emb_343,0.0014245638
emb_380,0.0014238667
emb_295,0.0014226984
emb_471,0.0014204032
emb_417,0.0014141594
emb_393,0.0014135628
emb_407,0.0014132836
emb_248,0.0014131324
emb_234,0.001412357
emb_38,0.0014094311
emb_131,0.001409421
emb_208,0.0014088935
emb_39,0.0014075655
emb_277,0.0014066977
emb_418,0.001405598
emb_119,0.0014051741
emb_125,0.001403009
emb_318,0.001402856
emb_264,0.0014016741
emb_80,0.0014014754
emb_459,0.0014014301
emb_92,0.001401256
emb_251,0.0014002959
emb_51,0.0014000977
