feature,importance
emb_249,0.06651284
age,0.04157632
BMI,0.020233814
emb_435,0.018494122
emb_212,0.018319186
emb_2,0.01798245
emb_443,0.016664028
emb_74,0.013859996
sex,0.013118618
emb_137,0.009526192
emb_85,0.009409362
emb_455,0.009302378
emb_276,0.008617171
emb_239,0.008455434
emb_241,0.007880315
emb_103,0.0068543595
emb_185,0.00682394
emb_231,0.0062764194
emb_26,0.005622971
emb_300,0.0056105778
emb_97,0.0053544957
emb_108,0.0050066453
emb_473,0.004890176
emb_15,0.0047576763
emb_145,0.0046971757
emb_489,0.004551051
emb_272,0.0045387023
emb_475,0.0045021037
emb_247,0.0044182884
emb_308,0.0043719243
emb_327,0.004323178
emb_66,0.004291326
emb_9,0.0042811995
emb_286,0.004201413
emb_287,0.004170715
emb_364,0.003926568
emb_454,0.003836063
emb_81,0.0038300166
emb_346,0.0037865827
emb_208,0.003777209
emb_480,0.0035614516
emb_167,0.0035021086
emb_359,0.0034839127
emb_118,0.0033467363
emb_133,0.0033061535
emb_52,0.0032673765
emb_215,0.0031702435
emb_465,0.0031127306
emb_395,0.003060437
emb_20,0.0029788453
emb_381,0.0029461205
emb_354,0.0029235478
emb_146,0.0028359422
emb_479,0.0027855893
emb_255,0.002775431
emb_320,0.0027683077
emb_358,0.002724704
emb_492,0.0027012008
emb_431,0.0026727803
emb_426,0.002665093
emb_424,0.002659643
emb_173,0.002617977
emb_504,0.0026050825
emb_59,0.002513069
emb_385,0.0024884245
emb_64,0.002463125
emb_55,0.0024578443
emb_357,0.0024550564
emb_368,0.0024437646
emb_158,0.0024034933
emb_195,0.0024027878
emb_326,0.0023789247
emb_235,0.0023741669
emb_252,0.0023453156
emb_319,0.0023428919
emb_324,0.002321731
emb_132,0.0022970964
emb_200,0.002286157
emb_104,0.002275836
emb_184,0.0022717903
emb_409,0.0022688245
emb_6,0.0022562027
emb_121,0.0022499573
emb_147,0.0022195578
emb_351,0.0021583827
emb_54,0.0021550006
emb_422,0.0021530879
emb_477,0.0021446582
emb_307,0.0021058621
emb_99,0.0021017208
emb_124,0.002084022
emb_70,0.0020654344
emb_332,0.002059724
emb_311,0.0020493076
emb_123,0.0020407324
emb_141,0.0020350898
emb_135,0.0020241195
emb_493,0.002023159
emb_220,0.0020062309
emb_361,0.001998979
emb_399,0.001984923
emb_3,0.0019706837
emb_233,0.001964633
emb_383,0.0019386644
emb_425,0.0019301289
emb_462,0.0019186053
emb_129,0.0019164832
emb_162,0.0019002678
emb_61,0.0018820039
emb_31,0.0018707837
emb_46,0.0018679885
emb_8,0.0018596667
emb_53,0.0018539844
emb_56,0.0018526018
emb_261,0.0018397936
emb_69,0.0018352362
emb_170,0.0018185202
emb_427,0.0017835125
emb_315,0.0017813549
emb_34,0.0017715006
emb_468,0.0017646339
emb_406,0.0017564987
emb_503,0.0017540798
emb_75,0.0017425462
emb_39,0.0017335158
emb_88,0.0017273348
emb_336,0.0017220107
emb_105,0.0017044134
emb_451,0.001701738
emb_49,0.0016992564
emb_417,0.0016918165
emb_459,0.0016905906
emb_32,0.0016756569
emb_442,0.0016713707
emb_360,0.0016618759
emb_471,0.0016611036
emb_188,0.001660841
emb_243,0.0016533498
emb_196,0.001652129
emb_414,0.0016435304
emb_38,0.0016396351
emb_169,0.0016255364
emb_369,0.0016253476
emb_157,0.0016178549
emb_470,0.0015992367
emb_309,0.0015943646
emb_467,0.0015849562
emb_214,0.0015835735
emb_333,0.0015808025
emb_297,0.0015805942
emb_192,0.0015749348
emb_126,0.0015731506
emb_396,0.0015719198
emb_259,0.0015679466
emb_497,0.0015663699
emb_140,0.0015640722
emb_362,0.0015609638
emb_1,0.001539122
emb_450,0.0015328007
emb_257,0.001532399
emb_262,0.0015306474
emb_224,0.001520047
emb_413,0.0015074452
emb_460,0.0015041769
emb_382,0.0014995026
emb_416,0.0014972079
emb_453,0.0014932499
emb_90,0.0014925083
emb_111,0.0014899254
emb_379,0.001487358
emb_207,0.0014872625
emb_189,0.0014860706
emb_96,0.0014699467
emb_508,0.0014677712
emb_205,0.0014526049
emb_419,0.0014508616
